Keep,Survey Type,System,role_rganization,years_experience,domain_activity,Python_experience,Cpp_experience,Java_experience,C_experience,C#_experience,NotHandlingExceptions_prevalence,AssumingSafeReturnValue_prevalence,ExcessiveCommunication_prevalence,Clustering_prevalence,Scattering_prevalence,HardCodingLibraries_prevalence,LocalReferences_prevalence,MemoryManagement_prevalence,CachingObjects_prevalence,SecuringLibraries_prevalence,RelativePath_prevalence,ExcessiveObjects_prevalence,UnusedDeclaration_prevalence,UnusedImplementation_prevalence,UnusedParameters_prevalence,NotHandlingExceptions_Expandability,NotHandlingExceptions_Simplicity,NotHandlingExceptions_Reusability,NotHandlingExceptions_Learnability,NotHandlingExceptions_Understandability,NotHandlingExceptions_Modularity,ReturnValue_Expandability,ReturnValue_Simplicity,ReturnValue_Reusability,ReturnValue_Learnability,ReturnValue_Understandability,ReturnValue_Modularity,ExcessiveCommunication_Expandability,ExcessiveCommunication_Simplicity,ExcessiveCommunication_Reusability,ExcessiveCommunication_Learnability,ExcessiveCommunication_Understandability,ExcessiveCommunication_Modularity,Clustering_Expandability,Clustering_Simplicity,Clustering_Reusability,Clustering_Learnability,Clustering_Understandability,Clustering_Modularity,Scattering_Expandability,Scattering_Simplicity,Scattering_Reusability,Scattering_Learnability,Scattering_Understandability,Scattering_Modularity,HardCodingLibraries_Expandability,HardCodingLibraries_Simplicity,HardCodingLibraries_Reusability,HardCodingLibraries_Learnability,HardCodingLibraries_Understandability,HardCodingLibraries_Modularity,LocalReferences_Expandability,LocalReferences_Simplicity,LocalReferences_Reusability,LocalReferences_Learnability,LocalReferences_Understandability,LocalReferences_Modularity,MemoryManagement_Expandability,MemoryManagement_Simplicity,MemoryManagement_Reusability,MemoryManagement_Learnability,MemoryManagement_Understandability,MemoryManagement_Modularity,CachingObjects_Expandability,CachingObjects_Simplicity,CachingObjects_Reusability,CachingObjects_Learnability,CachingObjects_Understandability,CachingObjects_Modularity,SecuringLibraries_Expandability,SecuringLibraries_Simplicity,SecuringLibraries_Reusability,SecuringLibraries_Learnability,SecuringLibraries_Understandability,SecuringLibraries_Modularity,RelativePath_Expandability,RelativePath_Simplicity,RelativePath_Reusability,RelativePath_Learnability,RelativePath_Understandability,RelativePath_Modularity,ExcessiveObjects_Expandability,ExcessiveObjects_Simplicity,ExcessiveObjects_Reusability,ExcessiveObjects_Learnability,ExcessiveObjects_Understandability,ExcessiveObjects_Modularity,UnusedDeclaration_Expandability,UnusedDeclaration_Simplicity,UnusedDeclaration_Reusability,UnusedDeclaration_Learnability,UnusedDeclaration_Understandability,UnusedDeclaration_Modularity,UnusedImplementation_Expandability,UnusedImplementation_Simplicity,UnusedImplementation_Reusability,UnusedImplementation_Learnability,UnusedImplementation_Understandability,UnusedImplementation_Modularity,UnusedParameters_Expandability,UnusedParameters_Simplicity,UnusedParameters_Reusability,UnusedParameters_Learnability,UnusedParameters_Understandability,UnusedParameters_Modularity,NotHandlingExceptions_Ranking,AssumingSafeReturnValue_Ranking,ExcessiveCommunication_Ranking,Clustering_Ranking,Scattering_Ranking,HardCodingLibraries_Ranking,LocalReferences_Ranking,MemoryManagement_Ranking,CachingObjects_Ranking,SecuringLibraries_Ranking,RelativePath_Ranking,ExcessiveObjects_Ranking,UnusedDeclaration_Ranking,UnusedImplementation_Ranking,UnusedParameters_Ranking,Clean 1,Smell1,Smell1_Validation,Smell1_Severity,Smell1_Refactoring,Smell2,Smell2_Validation,Smell2_Severity,Smell2_Refactoring,Smell3,Smell3_Validation,Smell3_Severity,Smell3_Refactoring,Smell4,Smell4_Validation,Smell4_Severity,Smell4_Refactoring,Smell5,Smell5_Validation,Smell5_Severity,Smell5_Refactoring,Smell6,Smell6_Validation,Smell6_Severity,Smell6_Refactoring,Smell7,Smell7_Validation,Smell7_Severity,Smell7_Refactoring,Clean 2,Smell8,Smell8_Validation,Smell8_Severity,Smell8_Refactoring,Smell9,Smell9_Validation,Smell9_Severity,Smell9_Refactoring,Smell10,Smell10_Validation,Smell10_Severity,Smell10_Refactoring,Smell11,Smell11_Validation,Smell11_Severity,Smell11_Refactoring,Smell12,Smell12_Validation,Smell12_Severity,Smell12_Refactoring,Smell13,Smell13_Validation,Smell13_Severity,Smell13_Refactoring,Smell14,Smell14_Validation,Smell14_Severity,Smell14_Refactoring,Smell15,Smell15_Validation,Smell15_Severity,Smell15_Refactoring,Clean 3
Yes,Open_1,None-Open,Project Manager,1 year - 5 Years,Research and development,Comfortable,Expert,Comfortable,Comfortable,Comfortable,Often,Rarely,Very often,Very often,Often,Often,Often,Very often,N/A,Very often,Very often,Very often,Often,Rarely,Often,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Positive,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,14,13,10,12,4,1,15,11,6,8,3,7,2,5,9,No,Yes,Yes,2 (Low),No (No refactoring),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,No,3 (Medium),No (No refactoring),No,,,,,No,No,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No
Yes,Open_1,None-Open,Developer,More than 10 years,Networks,Expert,Expert,Expert,Expert,Comfortable,Often,Very often,Very often,Very often,Often,Rarely,Rarely,Often,Very often,Often,Rarely,N/A,N/A,Very often,Rarely,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Neutral,Neutral,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,12,13,9,10,7,3,14,15,11,5,1,6,2,8,4,Yes,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),No,,,,,Yes,No,3 (Medium),No (No refactoring),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,Yes,3 (Medium),No (No refactoring),No
Yes,Open_1,None-Open,Developer,1 year - 5 Years,Banking and insurance,Practical,Expert,Expert,Comfortable,Comfortable,Often,Often,Rarely,Often,Often,Rarely,Very often,Very often,N/A,Very often,Often,Often,Rarely,Often,Rarely,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,10,13,11,15,7,6,14,12,3,5,2,8,9,4,1,No,No,No,,,,,,,Yes,Yes,3 (Medium),No (No refactoring),,,,,Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),No,,,,,Yes,No,3 (Medium),No (No refactoring),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,No,4 (High),Yes (Refactoring with this solution),No
Yes,Open_1,None-Open,Developer,1 year - 5 Years,"Analytics (Business,IT services, BigData...)",Expert,Expert,Expert,Comfortable,Little Knowledge,Very often,Rarely,Very often,Often,Often,Rarely,Often,Often,Rarely,Rarely,Rarely,Often,Often,Rarely,Rarely,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Positive,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,15,13,10,11,7,6,14,9,1,12,4,8,2,5,3,Yes,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),No (No refactoring),Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),
Yes,Open_1,None-Open,Software Engineer,5-10 Years,Research and development,Comfortable,Expert,Comfortable,Expert,Comfortable,Often,Rarely,Often,Very often,Very often,Very often,Rarely,Very often,Often,Very often,Often,Rarely,Very often,Often,Often,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,13,10,14,12,11,6,9,15,8,4,3,7,1,5,2,No,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No,,,,,No,No,,,,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No
Yes,Open_1,None-Open,Architect,5-10 Years,"Other, please specify",Novice,Expert,Expert,Expert,Expert,Very often,Rarely,Very often,Very often,Often,Rarely,Very often,Rarely,Rarely,Often,Rarely,Often,Rarely,Often,Rarely,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Positive,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,11,13,9,14,7,5,15,12,6,10,3,1,2,8,4,No,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,Yes,No,2 (Low),No (No refactoring),,,,,Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No,,,,,No,No,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,Yes,2 (Low),No (No refactoring),No
Yes,Open_1,None-Open,Software Engineer,More than 10 years,"Analytics (Business,IT services, BigData...)",Expert,Expert,Expert,Expert,Expert,Rarely,Rarely,Rarely,Rarely,Very often,Rarely,Rarely,Often,Very often,Often,Rarely,Very often,Often,Often,Often,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Neutral,Negative,Neutral,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,14,13,15,10,7,5,12,11,6,4,1,8,3,9,2,No,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),No (No refactoring),No,,,,,No,No,,,,,,,Yes,Yes,3 (Medium),No (No refactoring),,,,,,,,,,,,,Yes,Yes,2 (Low),No (No refactoring),Yes
Yes,Open_1,None-Open,Tester,More than 10 years,Games,Comfortable,Expert,Expert,Comfortable,Comfortable,Rarely,Rarely,Often,Very often,Often,Rarely,Often,Very often,Rarely,Rarely,Rarely,Often,Often,Rarely,Rarely,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,15,10,14,11,5,7,9,13,6,12,3,8,2,4,1,No,Yes,Yes,2 (Low),No (No refactoring),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",,,,,Yes,No,5 (Very High),"Yes (Refactoring with another solution), please specify",No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,No,3 (Medium),"Yes (Refactoring with another solution), please specify",No
Yes,Open_1,None-Open,Software Engineer,1 year - 5 Years,Networks,Little Knowledge,Expert,Expert,Practical,Comfortable,Very often,Very often,Very often,Very often,Often,Rarely,Rarely,Very often,Rarely,Very often,Often,Often,Rarely,Rarely,Often,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,14,12,15,11,7,6,13,9,8,10,1,3,2,4,5,No,,,,,,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,Yes,Yes,3 (Medium),No (No refactoring),,,,,,,,,No,,,,,Yes,No,3 (Medium),No (No refactoring),,,,,Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",,,,,,,,,,,,,Yes,Yes,2 (Low),No (No refactoring),
Yes,Open_1,None-Open,Software Engineer,More than 10 years,Robotics and Embeeded systems,Practical,Expert,Expert,Expert,Expert,Often,Rarely,Often,Often,Very often,Rarely,Very often,Often,Rarely,Often,Rarely,Rarely,Often,Often,Rarely,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,9,13,10,12,14,5,8,15,3,7,6,11,1,4,2,No,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,No,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,No,1 (Very Low),No (No refactoring),No
Yes,Open_1,None-Open,Software Engineer,1 year - 5 Years,Networks,Expert,Expert,Expert,Expert,Practical,Often,Very often,Rarely,Very often,Rarely,Rarely,Rarely,Very often,Often,Rarely,Often,Very often,Rarely,Rarely,Rarely,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,15,11,13,10,7,5,14,12,6,8,3,4,1,9,2,No,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,No,No,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),No,,,,,Yes,No,3 (Medium),No (No refactoring),,,,,No,No,,,,,,,,,,,,,,,,,,,
Yes,Open_1,None-Open,Project Manager,Less than 1 year,Games,Novice,Expert,Little Knowledge,Practical,Expert,Rarely,Rarely,Very often,Very often,Often,Rarely,Often,Often,Very often,Very often,Very often,Often,Rarely,Often,Often,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,13,10,12,14,1,6,15,11,8,7,3,9,4,5,2,No,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,No,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),No (No refactoring),No,,,,,No,No,,,,,,,Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No
Yes,Open_1,None-Open,Software Engineer,5-10 Years,Research and development,Comfortable,Expert,Expert,Comfortable,Comfortable,Often,Rarely,Rarely,Often,Very often,Often,Very often,Very often,Rarely,Often,Often,Often,Often,Rarely,Rarely,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Positive,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,10,13,14,12,11,6,9,15,5,8,1,4,2,7,3,No,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,,,,,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,No,3 (Medium),No (No refactoring),
Yes,Open_1,None-Open,Software Engineer,More than 10 years,Networks,Comfortable,Comfortable,Expert,Expert,Comfortable,Rarely,Very often,Very often,Very often,Rarely,N/A,Often,Very often,Often,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,14,13,11,15,5,3,10,12,2,7,6,4,9,8,1,No,Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),No,,,,,Yes,No,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,Yes,3 (Medium),No (No refactoring),No
Yes,Open_1,None-Open,Software Engineer,5-10 Years,Banking and insurance,Comfortable,Little Knowledge,Expert,Expert,Comfortable,Very often,Rarely,Very often,Very often,Often,Rarely,Rarely,Often,Rarely,Very often,Often,Often,Rarely,Rarely,Often,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Negative,Negative,Neutral,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,15,13,12,11,7,5,14,9,4,10,3,6,1,8,2,No,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,No,2 (Low),No (No refactoring),,,,,Yes,No,5 (Very High),Yes (Refactoring with this solution),No,,,,,No,No,,,,,,,Yes,No,3 (Medium),No (No refactoring),,,,,,,,,,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),No
Yes,Open_1,None-Open,"Other, please specify",Less than 1 year,Robotics and Embeeded systems,Expert,Comfortable,Practical,Little Knowledge,Expert,Rarely,Rarely,Often,Very often,Rarely,Rarely,Very often,Rarely,Rarely,Often,Rarely,Often,Often,Rarely,Rarely,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,14,12,13,9,8,3,15,11,4,10,5,7,6,1,2,Yes,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,Yes,Yes,3 (Medium),No (No refactoring),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,,,,,Yes,No,3 (Medium),No (No refactoring),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),Yes
